experiment	file	q	beam_size	size_view	dedup	algo	key	value
VaryDeduplication	breast.arff	25	100	5	0	Approximative	Time-Graph	0.808
VaryDeduplication	breast.arff	25	100	5	0	Approximative	Time-Search	0.876
VaryDeduplication	breast.arff	25	100	5	0	Approximative	Time-PostProcess	0.167
VaryDeduplication	breast.arff	25	100	5	0	Approximative	Time	1.851
VaryDeduplication	breast.arff	25	100	5	25	Approximative	Time-Graph	1.217
VaryDeduplication	breast.arff	25	100	5	25	Approximative	Time-Search	1.78
VaryDeduplication	breast.arff	25	100	5	25	Approximative	Time-PostProcess	0.154999999999999
VaryDeduplication	breast.arff	25	100	5	25	Approximative	Time	3.153
VaryDeduplication	breast.arff	25	100	5	50	Approximative	Time-Graph	1.06
VaryDeduplication	breast.arff	25	100	5	50	Approximative	Time-Search	1.774
VaryDeduplication	breast.arff	25	100	5	50	Approximative	Time-PostProcess	0.155000000000001
VaryDeduplication	breast.arff	25	100	5	50	Approximative	Time	2.989
VaryDeduplication	breast.arff	25	100	5	75	Approximative	Time-Graph	1.089
VaryDeduplication	breast.arff	25	100	5	75	Approximative	Time-Search	1.753
VaryDeduplication	breast.arff	25	100	5	75	Approximative	Time-PostProcess	0.155000000000001
VaryDeduplication	breast.arff	25	100	5	75	Approximative	Time	2.997
VaryDeduplication	breast.arff	25	100	5	100	Approximative	Time-Graph	1.062
VaryDeduplication	breast.arff	25	100	5	100	Approximative	Time-Search	1.781
VaryDeduplication	breast.arff	25	100	5	100	Approximative	Time-PostProcess	0.155999999999999
VaryDeduplication	breast.arff	25	100	5	100	Approximative	Time	2.999
VaryDeduplication	letrec.arff	25	100	5	0	Approximative	Time-Graph	6.951
VaryDeduplication	letrec.arff	25	100	5	0	Approximative	Time-Search	0.523000000000003
VaryDeduplication	letrec.arff	25	100	5	0	Approximative	Time-PostProcess	12.684
VaryDeduplication	letrec.arff	25	100	5	0	Approximative	Time	20.158
VaryDeduplication	letrec.arff	25	100	5	25	Approximative	Time-Graph	6.93000000000004
VaryDeduplication	letrec.arff	25	100	5	25	Approximative	Time-Search	1.19999999999999
VaryDeduplication	letrec.arff	25	100	5	25	Approximative	Time-PostProcess	13.224
VaryDeduplication	letrec.arff	25	100	5	25	Approximative	Time	21.355
VaryDeduplication	letrec.arff	25	100	5	50	Approximative	Time-Graph	6.952
VaryDeduplication	letrec.arff	25	100	5	50	Approximative	Time-Search	2.16300000000001
VaryDeduplication	letrec.arff	25	100	5	50	Approximative	Time-PostProcess	12.02
VaryDeduplication	letrec.arff	25	100	5	50	Approximative	Time	21.135
VaryDeduplication	letrec.arff	25	100	5	75	Approximative	Time-Graph	6.93100000000004
VaryDeduplication	letrec.arff	25	100	5	75	Approximative	Time-Search	2.13499999999999
VaryDeduplication	letrec.arff	25	100	5	75	Approximative	Time-PostProcess	12.035
VaryDeduplication	letrec.arff	25	100	5	75	Approximative	Time	21.101
VaryDeduplication	letrec.arff	25	100	5	100	Approximative	Time-Graph	6.87
VaryDeduplication	letrec.arff	25	100	5	100	Approximative	Time-Search	2.08100000000002
VaryDeduplication	letrec.arff	25	100	5	100	Approximative	Time-PostProcess	12.102
VaryDeduplication	letrec.arff	25	100	5	100	Approximative	Time	21.053
