experiment	file	q	beam_size	size_view	dedup	algo	key	value
VaryAlgos	insurance.arff	19	44	22	100	4S	Time	10.176
VaryAlgos	insurance.arff	19	44	22	100	4S_official	Time	10.122
VaryAlgos	insurance.arff	19	44	22	100	Clique	Time-Graph	51.2849999999999
VaryAlgos	insurance.arff	19	44	22	100	Clique	Time-Search	0.00100000000020373
VaryAlgos	insurance.arff	19	44	22	100	Clique	Time-PostProcess	0.555999999999585
VaryAlgos	insurance.arff	19	44	22	100	Clique	Time	51.8419999999996
VaryAlgos	insurance.arff	19	44	22	100	Approximative	Time-Graph	14.9009999999998
VaryAlgos	insurance.arff	19	44	22	100	Approximative	Time-Search	5.23999999999978
VaryAlgos	insurance.arff	19	44	22	100	Approximative	Time-PostProcess	5.83200000000033
VaryAlgos	insurance.arff	19	44	22	100	Approximative	Time	25.973
VaryAlgos	bank.arff	11	22	8	100	4S	Time	45.0739999999996
VaryAlgos	bank.arff	11	22	8	100	4S_official	Time	45.01
VaryAlgos	bank.arff	11	22	8	100	Exhaustive	Time	525.181999999999
VaryAlgos	bank.arff	11	22	8	100	Clique	Time-Graph	13.3790000000008
VaryAlgos	bank.arff	11	22	8	100	Clique	Time-Search	0.00100000000020373
VaryAlgos	bank.arff	11	22	8	100	Clique	Time-PostProcess	1.67399999999907
VaryAlgos	bank.arff	11	22	8	100	Clique	Time	15.0540000000001
VaryAlgos	bank.arff	11	22	8	100	Approximative	Time-Graph	14.6170000000002
VaryAlgos	bank.arff	11	22	8	100	Approximative	Time-Search	0.216000000000349
VaryAlgos	bank.arff	11	22	8	100	Approximative	Time-PostProcess	8.65999999999985
VaryAlgos	bank.arff	11	22	8	100	Approximative	Time	23.4930000000004
VaryBeam	insurance.arff	25	25	5	100	Approximative	Time-Graph	5.34599999999955
VaryBeam	insurance.arff	25	25	5	100	Approximative	Time-Search	0.135000000000218
VaryBeam	insurance.arff	25	25	5	100	Approximative	Time-PostProcess	0.773000000001048
VaryBeam	insurance.arff	25	25	5	100	Approximative	Time	6.25400000000081
VaryBeam	insurance.arff	25	50	5	100	Approximative	Time-Graph	18.9309999999987
