file	q	k	size	algo	view	score	description
insurance.arff	25	10	5	Just_POIs_FALSE	1	0.0121232257817777	V47: (-0.008,1.6] -  
insurance.arff	25	10	5	Just_POIs_FALSE	2	0.0121232257817777	V68: (-0.007,1.4] - V47: (-0.007,1.4] -  
insurance.arff	25	10	5	Just_POIs_FALSE	3	0.0121232257817777	V68: (-0.007,1.4] - V68: (-0.001,0.2] -  
insurance.arff	25	10	5	Just_POIs_FALSE	4	0.0121232257817777	V47: (-0.008,1.6] -  
insurance.arff	25	10	5	Just_POIs_FALSE	5	0.0096475718013774	V47: (4.8,6.4] - V47: (5.8,6] -  
insurance.arff	25	10	5	Just_POIs_FALSE	6	0.0096475718013774	V47: (4.8,6.4] - V47: (5.8,6] -  
insurance.arff	25	10	5	Just_POIs_FALSE	7	0.0096475718013774	V47: (4.8,6.4] - V47: (5.8,6] -  
insurance.arff	25	10	5	Just_POIs_FALSE	8	0.00937526204771808	V47: (4.8,6.4] - V47: (5.8,6] - V1: (0.96,9] -  
insurance.arff	25	10	5	Just_POIs_FALSE	9	0.00937526204771808	V1: (0.96,9] - V47: (5.6,7.01] - V47: (6,6.2] -  
insurance.arff	25	10	5	Just_POIs_FALSE	10	0.00937526204771808	V47: (4.8,6.4] - V1: (0.96,9] - V47: (5.8,6] -  
insurance.arff	25	10	5	Just_POIs_FALSE	11	0.00937526204771808	V47: (4.8,6.4] - V47: (5.8,6] - V1: (0.96,9] -  
insurance.arff	25	10	5	Just_POIs_FALSE	12	0.00937526204771808	V47: (4.8,6.4] - V47: (5.8,6] - V1: (0.96,9] -  
insurance.arff	25	10	5	Just_POIs_FALSE	13	0.00937526204771808	V47: (4.8,6.4] - V47: (5.8,6] - V1: (0.96,9] -  
insurance.arff	25	10	5	Just_POIs_FALSE	14	0.00937526204771808	V1: (0.96,9] - V47: (5.6,7.01] - V47: (6,6.2] -  
insurance.arff	25	10	5	Just_POIs_FALSE	15	0.00937526204771808	V47: (4.8,6.4] - V47: (5.8,6] - V1: (0.96,9] -  
insurance.arff	25	10	5	Just_POIs_FALSE	16	0.00937526204771808	V47: (4.8,6.4] - V47: (5.8,6] - V1: (0.96,9] -  
insurance.arff	25	10	5	Just_POIs_FALSE	17	0.00937526204771808	V47: (4.8,6.4] - V47: (5.8,6] - V1: (0.96,9] -  
insurance.arff	25	10	5	Just_POIs_FALSE	18	0.00937526204771808	V1: (0.96,9] - V47: (5.6,7.01] - V47: (6,6.2] -  
insurance.arff	25	10	5	Just_POIs_FALSE	19	0.00905302708810308	V1: (0.96,9] - V47: (5.6,7.01] -  
insurance.arff	25	10	5	Just_POIs_FALSE	20	0.0082824596239194	V47: (4.8,6.4] - V47: (5.8,6] - V30: (-0.009,1.8] -  
insurance.arff	25	10	5	Just_POIs_FALSE	21	0.0121232257817777	V47: (-0.008,1.6] -  
insurance.arff	25	10	5	Just_POIs_FALSE	22	0.0121232257817777	V68: (-0.007,1.4] - V47: (-0.007,1.4] -  
insurance.arff	25	10	5	Just_POIs_FALSE	23	0.0121232257817777	V68: (-0.007,1.4] - V68: (-0.001,0.2] -  
insurance.arff	25	10	5	Just_POIs_FALSE	24	0.0121232257817777	V47: (-0.008,1.6] -  
insurance.arff	25	10	5	Just_POIs_FALSE	25	0.0096475718013774	V47: (4.8,6.4] - V47: (5.8,6] -  
insurance.arff	25	10	5	Just_POIs_FALSE	26	0.0096475718013774	V47: (4.8,6.4] - V47: (5.8,6] -  
insurance.arff	25	10	5	Just_POIs_FALSE	27	0.0096475718013774	V47: (4.8,6.4] - V47: (5.8,6] -  
insurance.arff	25	10	5	Just_POIs_FALSE	28	0.00937526204771808	V47: (4.8,6.4] - V47: (5.8,6] - V1: (0.96,9] -  
insurance.arff	25	10	5	Just_POIs_FALSE	29	0.00937526204771808	V1: (0.96,9] - V47: (5.6,7.01] - V47: (6,6.2] -  
insurance.arff	25	10	5	Just_POIs_FALSE	30	0.00937526204771808	V47: (4.8,6.4] - V1: (0.96,9] - V47: (5.8,6] -  
insurance.arff	25	10	5	Just_POIs_FALSE	31	0.00937526204771808	V47: (4.8,6.4] - V47: (5.8,6] - V1: (0.96,9] -  
insurance.arff	25	10	5	Just_POIs_FALSE	32	0.00937526204771808	V47: (4.8,6.4] - V47: (5.8,6] - V1: (0.96,9] -  
insurance.arff	25	10	5	Just_POIs_FALSE	33	0.00937526204771808	V47: (4.8,6.4] - V47: (5.8,6] - V1: (0.96,9] -  
insurance.arff	25	10	5	Just_POIs_FALSE	34	0.00937526204771808	V1: (0.96,9] - V47: (5.6,7.01] - V47: (6,6.2] -  
insurance.arff	25	10	5	Just_POIs_FALSE	35	0.00937526204771808	V47: (4.8,6.4] - V47: (5.8,6] - V1: (0.96,9] -  
insurance.arff	25	10	5	Just_POIs_FALSE	36	0.00937526204771808	V47: (4.8,6.4] - V47: (5.8,6] - V1: (0.96,9] -  
