experiment	file	q	beam_size	size_view	dedup	algo	key	value
VaryDeduplication	magic.arff	25	100	5	0	Approximative	Time-Graph	2.691
VaryDeduplication	magic.arff	25	100	5	0	Approximative	Time-Search	0.234
VaryDeduplication	magic.arff	25	100	5	0	Approximative	Time-PostProcess	10.869
VaryDeduplication	magic.arff	25	100	5	0	Approximative	Time	13.795
VaryDeduplication	magic.arff	25	100	5	25	Approximative	Time-Graph	2.54900000000001
VaryDeduplication	magic.arff	25	100	5	25	Approximative	Time-Search	0.326999999999998
VaryDeduplication	magic.arff	25	100	5	25	Approximative	Time-PostProcess	9.94999999999999
VaryDeduplication	magic.arff	25	100	5	25	Approximative	Time	12.826
VaryDeduplication	magic.arff	25	100	5	50	Approximative	Time-Graph	2.52999999999997
VaryDeduplication	magic.arff	25	100	5	50	Approximative	Time-Search	0.322000000000003
VaryDeduplication	magic.arff	25	100	5	50	Approximative	Time-PostProcess	9.91500000000002
VaryDeduplication	magic.arff	25	100	5	50	Approximative	Time	12.767
VaryDeduplication	magic.arff	25	100	5	75	Approximative	Time-Graph	2.53099999999995
VaryDeduplication	magic.arff	25	100	5	75	Approximative	Time-Search	0.324000000000012
VaryDeduplication	magic.arff	25	100	5	75	Approximative	Time-PostProcess	9.959
VaryDeduplication	magic.arff	25	100	5	75	Approximative	Time	12.814
VaryDeduplication	magic.arff	25	100	5	100	Approximative	Time-Graph	2.54999999999995
VaryDeduplication	magic.arff	25	100	5	100	Approximative	Time-Search	0.326000000000022
VaryDeduplication	magic.arff	25	100	5	100	Approximative	Time-PostProcess	9.94100000000003
VaryDeduplication	magic.arff	25	100	5	100	Approximative	Time	12.817
VaryDeduplication	pendigits.arff	25	100	5	0	Approximative	Time-Graph	2.72499999999991
VaryDeduplication	pendigits.arff	25	100	5	0	Approximative	Time-Search	0.622000000000071
VaryDeduplication	pendigits.arff	25	100	5	0	Approximative	Time-PostProcess	5.37799999999993
VaryDeduplication	pendigits.arff	25	100	5	0	Approximative	Time	8.72499999999991
VaryDeduplication	pendigits.arff	25	100	5	25	Approximative	Time-Graph	2.71000000000004
VaryDeduplication	pendigits.arff	25	100	5	25	Approximative	Time-Search	1.33699999999999
VaryDeduplication	pendigits.arff	25	100	5	25	Approximative	Time-PostProcess	5.60300000000007
VaryDeduplication	pendigits.arff	25	100	5	25	Approximative	Time	9.65000000000009
VaryDeduplication	pendigits.arff	25	100	5	50	Approximative	Time-Graph	2.70600000000002
VaryDeduplication	pendigits.arff	25	100	5	50	Approximative	Time-Search	2.41899999999998
VaryDeduplication	pendigits.arff	25	100	5	50	Approximative	Time-PostProcess	5.62
VaryDeduplication	pendigits.arff	25	100	5	50	Approximative	Time	10.746
VaryDeduplication	pendigits.arff	25	100	5	75	Approximative	Time-Graph	2.71699999999998
VaryDeduplication	pendigits.arff	25	100	5	75	Approximative	Time-Search	2.25699999999995
VaryDeduplication	pendigits.arff	25	100	5	75	Approximative	Time-PostProcess	5.59100000000001
VaryDeduplication	pendigits.arff	25	100	5	75	Approximative	Time	10.5649999999999
VaryDeduplication	pendigits.arff	25	100	5	100	Approximative	Time-Graph	2.68999999999983
VaryDeduplication	pendigits.arff	25	100	5	100	Approximative	Time-Search	2.22700000000009
VaryDeduplication	pendigits.arff	25	100	5	100	Approximative	Time-PostProcess	5.59999999999991
VaryDeduplication	pendigits.arff	25	100	5	100	Approximative	Time	10.5169999999998
